participant_id,activity,AccelX_mean,AccelX_std,AccelX_min,AccelX_max,AccelY_mean,AccelY_std,AccelY_min,AccelY_max,AccelZ_mean,AccelZ_std,AccelZ_min,AccelZ_max,GyroX_mean,GyroX_std,GyroX_min,GyroX_max,GyroY_mean,GyroY_std,GyroY_min,GyroY_max,GyroZ_mean,GyroZ_std,GyroZ_min,GyroZ_max,accel_mag_mean,accel_mag_std,accel_mag_min,accel_mag_max,gyro_mag_mean,gyro_mag_std,gyro_mag_min,gyro_mag_max
1,squatting,9.171085340000001,1.1141808685531738,6.287174,11.999739,3.0323522200000004,0.7301270474455741,1.455675,5.137957,4.1708909599999995,0.6897388869215207,2.624045,6.416461,-0.06413089000000001,0.10564103726382991,-0.422743,0.216101,-0.0010178699999999965,0.1419177043767729,-0.213303,0.483096,0.022182969999999996,0.11939274305077802,-0.354528,0.236485,10.541823093367839,1.3492545399002247,7.770388622846929,14.291975771546879,0.1959545757529085,0.1084573011557435,0.025117093263353544,0.538866760914978
2,walking,8.20143369,0.5797053953899289,7.067683,10.510546,4.16729958,0.3953733042403895,3.371036,5.463568,5.47371971,0.5484008754378734,4.271256,6.497863,-0.08562372,0.19564339764321617,-0.49562,0.395164,-0.0036905300000000018,0.19721404478507382,-0.619659,0.833095,0.02376712,0.20472427905503932,-0.249675,0.501482,10.724185670508282,0.6135726887449121,9.74429826164496,12.76676237512209,0.3156184449353454,0.16545894833608837,0.03197084230982975,0.9696774870692833
4,running,0.63240447,2.123775912199352,-4.299986,7.776367,6.983646970000001,4.631189155131361,0.167594,17.970879,6.861829939999999,3.4216361152355863,2.149993,13.594277,-0.15679451,0.3408716061469038,-0.991907,0.630717,0.036353500000000004,0.47135473858096516,-1.31859,1.249976,-0.10624521999999999,0.4372800778356037,-1.227992,0.777271,10.130647581759497,5.593914634302704,3.0048669302418367,23.364577921379833,0.6626810634222245,0.3572541927180696,0.10017144497310598,1.856196360991207
1,squatting,9.595529460000002,1.2884293400378573,6.976704,13.13459,2.91182814,1.0368685016932573,1.857901,5.679047,3.8979040300000003,1.051165121512234,2.585738,6.287174,-0.06606800999999998,0.09473080140297505,-0.246744,0.146155,0.04677211000000001,0.0852295744028908,-0.128302,0.274323,-0.06582425,0.10559486983006085,-0.292975,0.205709,10.804025464530095,1.691068564623282,7.718943906209515,15.521478974322807,0.1819207009146283,0.0719623811986537,0.06874255366947025,0.40246993998931146
2,squatting,8.136359290000001,1.9262399143020905,2.786851,11.51611,3.5747347,0.9866380534230829,1.225831,6.033388,4.52427509,0.9872683789137794,2.240973,6.426037,-0.06984515999999999,0.06528268649170621,-0.189855,0.135629,0.038594420000000004,0.18199036577600364,-0.522933,0.408887,0.0020731099999999987,0.17410774003294024,-0.402891,0.749292,10.004641422067802,2.2391604420204265,4.443393565629878,13.876322160046623,0.22674675728703217,0.15051215567417042,0.016437836049796824,0.88692632002495
2,running,8.23638894,6.483548690632994,-0.3304,21.447258,3.8230612299999995,3.1509352333256166,-0.205901,10.596737,4.8930779399999995,3.1025681871830724,0.45011,11.027693,-0.07169176000000001,0.21125444353537845,-0.58342,0.634314,0.007919250000000001,0.5931231583292524,-1.503515,1.148587,-0.008935880000000002,0.28906103684032824,-0.772874,0.60447,10.489967285295053,7.612320529521837,1.1563571766910947,26.34171072022434,0.625124325840846,0.30737868183232514,0.12809293452021467,1.6179100417968237
3,jogging,-7.899093840000001,4.392913395561539,-15.433024,-0.708684,2.6517699500000003,2.1252819738943463,-1.130063,8.690952,5.23602334,2.2585415230227017,1.307234,9.610326,-0.13028681999999997,0.3364293258794596,-0.987776,0.601139,0.06419749000000001,0.3028806142546761,-0.807781,0.682677,0.010252150000000002,0.27428982619088793,-0.58342,0.829631,9.987107088765898,5.1006588943074425,1.566635216330847,18.101712973806375,0.48298489695574376,0.26092706957138334,0.04538871213198277,1.1540660087118069
1,resting,8.8405418,0.06060728778835117,8.700529,8.992621,4.58843967,0.10721346577972887,4.381389,4.836287,3.1375054700000002,0.09757974755372706,2.992752,3.44765,-0.10111580999999997,0.02483734488213062,-0.156147,-0.04823,-0.024124180000000005,0.034093632336370375,-0.079406,0.049029,-0.029595949999999996,0.03153935931669349,-0.083669,0.031975,10.443914896940866,0.04722181936063826,10.346051675908592,10.555484519000395,0.11701910017404993,0.027619453221880835,0.05381852205328571,0.18094285523612144
1,walking,12.340170449999999,1.3757737197394226,9.900024,16.115372,6.247046870000002,0.9905694621173989,4.098873,9.078813,10.4934748,1.0146294959556912,8.243237,12.854469,0.7847277500000003,0.15034123001814076,0.400149,1.116372,0.03967429000000001,0.2436324182867418,-0.656627,0.461874,1.05715336,0.2729987937926657,0.35013,1.469695,17.406268472255803,1.5309104422816922,15.2896383101922,21.431601721979135,1.348096035333505,0.27215726901978127,0.636340318308529,1.8132193848233038
3,cycling,-0.73171596,3.6823258471136744,-6.593631,6.042965,6.694954120000001,1.6943146956280126,3.682282,10.299856,6.531477969999998,1.6954986915236736,2.03986,9.835381,0.13971028,0.580104519895856,-1.148453,1.999268,-0.39435913,0.6790086525229653,-3.094296,1.033608,0.31592858,0.4713681036057527,-0.581688,1.454485,10.316682115913322,0.9428866591028764,8.071654994829808,12.875990357001982,0.9252346313205346,0.6622323789422746,0.14118843920094873,3.750047373708231
4,walking,-0.6542874800000001,0.7434102651184806,-2.475605,1.120486,6.298761639999999,1.1001782182620916,4.314352,8.805874,8.29638767,0.9730500113096248,6.636727,10.529699,-0.14889255,0.163083690716109,-0.596343,0.292842,-0.24763956999999998,0.553427563900304,-1.990608,0.353862,-0.20872406000000002,0.43562389190738426,-1.369217,0.342671,10.493997571101685,1.2322462868240687,8.685667969223497,13.477702350519875,0.5206319842043975,0.6153445800397627,0.07450008514089095,2.4160791473989423
2,walking,7.60331422,0.4250381597816737,6.622362,9.289502,4.53404338,0.3232985737075801,3.969586,5.430049,5.897397629999998,0.32265456059710834,5.176264,6.971915,-0.0620658,0.07395640140271834,-0.197715,0.115511,-0.01980082,0.1584162777953314,-0.423009,0.387037,0.01072643,0.10945810663594131,-0.205976,0.277787,10.644750031682308,0.47520252483673375,9.640096808945282,12.468892467641785,0.19752147911490256,0.08883074399334456,0.019912331330107984,0.4437300259234212
2,cycling,7.505630749999999,0.5989759783370345,6.272809,8.628703,4.658446130000001,0.6244389902306815,3.414132,6.330269,5.9013241700000005,0.5433334259638009,5.085284,7.163452,-0.06236819,0.09331789852999209,-0.225694,0.174133,0.01342172,0.11293597167077282,-0.264597,0.2606,-0.0368331,0.11290336265165,-0.249542,0.177331,10.655793072735781,0.5993510981341563,9.574626389934231,12.027330957290317,0.19007394623299356,0.05923207823457719,0.07348124186484603,0.34965825176592075
3,cycling,0.19785685,0.9503211074704946,-1.647211,2.743755,7.580904459999999,0.8854604882913569,5.779603,9.461885,6.912012419999999,0.971619926703134,4.314352,9.074024,-0.12707731,0.2637850540571127,-0.87413,0.351064,-0.058767010000000015,0.2757077224719139,-0.792459,0.397695,-0.13995143,0.2100550597739676,-0.630051,0.292176,10.349237114737013,0.8998124068491455,8.48292257320353,12.54138200419304,0.42485907286789726,0.22000865040552572,0.07707277793099195,1.2784845790274515
3,jogging,-7.661014460000001,4.325601127068002,-14.12579,-0.440533,2.753331969999999,2.2258654180741,-1.805228,7.388506,5.42487795,2.447327275666642,1.604115,10.850522,-0.06507018000000002,0.3614246503136547,-0.976052,0.715985,-0.028438249999999998,0.23925594122137803,-0.635113,0.584885,-0.052650300000000004,0.2575564042748112,-0.716651,0.689205,9.949143773761937,5.135224551940792,2.021783993809675,17.528861616153115,0.451632566117787,0.240934485591608,0.07674938481838145,1.1113615903332272
3,walking,9.671425609999998,1.2091480562154981,7.19697,13.019669,1.08921815,0.6854570401201577,-0.311246,2.748544,4.3214383,0.8633786507206731,2.322376,6.196194,-0.19783240000000002,0.3737991264596267,-1.362423,0.426207,-0.09566137000000001,0.46294675672754537,-1.599041,0.497219,-0.08154954,0.32507179823627946,-1.108484,0.652167,10.697268497045993,1.281974360542293,7.8266900838720455,13.793396343896815,0.604213671967084,0.3867584295104672,0.09746102068006472,1.611934378566944
4,walking,3.3852096200000004,1.677586504685912,0.253785,6.885724,7.6944854099999995,1.2320803819879778,5.353435,10.611102,5.736363560000001,1.2436455142092004,2.451663,8.135497,-0.25673924,0.4392950352996519,-1.118876,0.657896,0.05176969,0.2831375990607286,-0.491623,0.66509,-0.27537563,0.2662012933958682,-0.84402,0.299104,10.378934880544389,1.3142679511252262,7.8627288205650965,13.308661315238773,0.6570182036656856,0.2382522034624561,0.2580161505061263,1.245187281217167
2,running,8.6773531,6.553555211494821,-0.3304,22.385786,4.16002115,3.157611036544395,-0.067038,10.596737,5.15998352,3.1426570899794313,0.593762,11.027693,-0.08489228,0.20002717191057218,-0.58342,0.348,0.054374290000000006,0.5735780320284642,-1.503515,1.148587,-0.05618098999999999,0.3515001659614543,-0.811645,0.60447,11.094299259201089,7.677243881622142,1.1563571766910947,26.34171072022434,0.6473073125940891,0.2947334462108401,0.12809293452021467,1.6179100417968237
2,cycling,7.28531633,0.5357606841015502,6.062119,8.781932,4.75804485,0.7006261587906545,3.44765,6.684611,6.277309609999999,0.359586349333144,5.60722,7.120356,-0.08779535999999999,0.08171961450209123,-0.233288,0.104187,-0.020744089999999996,0.12760760794373469,-0.235153,0.279919,-0.013183229999999999,0.19400056935539417,-0.481498,0.477234,10.758936403568573,0.5214854688089681,9.62793044352835,11.867747439272291,0.24051405329241546,0.10518150093649137,0.03507864930409949,0.5402109397466882
2,walking,7.9289735,0.4291535311411407,7.211336,9.787497,4.11204146,0.32256175259706227,3.385401,5.032612,5.8318443,0.3879949769002042,4.912902,6.952762,-0.0893608,0.13553329133574527,-0.318822,0.159877,-0.002308900000000001,0.17507186573059078,-0.354662,0.515205,-0.04831766,0.1720194767945316,-0.394631,0.292176,10.674742776607347,0.5258700075133947,9.609538064452526,12.509064499770158,0.270797433134268,0.12491661898631275,0.08890827958632423,0.6028560225020565
4,running,2.99959958,2.711910564421464,-3.050213,10.409989,7.17345927,4.7512043829597665,0.062249,19.713858,6.686765919999999,3.520578637150537,0.378284,15.198392,-0.05645541999999999,0.4318302188732553,-0.929554,0.936616,0.09521369999999997,0.7915102098795378,-1.202412,2.502083,0.03565269,0.7106874175340898,-1.362023,1.570263,10.583005424810489,5.9575016680172155,1.8983225918784195,26.022240063614603,0.872801809922903,0.7548399391470715,0.0970827265892342,2.9804807947579532
1,running,13.611012680000002,8.905637673175617,1.553837,38.826771,4.30606752,3.737778855801682,-1.180341,13.041217,9.062867469999999,2.027139033413359,2.889802,14.348451,0.81117903,0.5301029611257696,-1.779384,2.286488,-0.016468899999999998,0.8192586455123255,-4.958225,2.223166,1.07225476,0.4779537067245973,-0.665673,2.288616,17.685474182016183,8.39953089163282,8.087549567555614,40.439783457522005,1.600981728167155,0.652306709462121,0.8032890797035647,5.3097385164441
1,resting,8.603085240000002,0.04572547806772925,8.51857,8.719683,4.55975708,0.05890455707645707,4.400543,4.673482,3.97585922,0.062174356270504334,3.845088,4.122815,-0.09694437,0.013317325481233084,-0.125904,-0.066083,-0.00878929,0.013916625783066097,-0.039836,0.029044,-0.013369780000000003,0.01713271399783467,-0.046098,0.024248,10.517615386047837,0.03331096683301917,10.447218094362777,10.613545095972787,0.10067564543957314,0.013534454036471532,0.06669642409454948,0.12743150427190286
1,squatting,7.064475169999998,1.9069561372831525,0.258574,12.042834,5.8976849300000005,0.9185496067214688,4.156334,9.251195,4.17888751,2.0692149239649202,-1.599327,10.740389,-0.50013142,1.2748329884823597,-4.365721,2.971456,-0.6282346200000001,1.1966332798564712,-4.03211,2.039903,-0.08525466999999998,0.47427004263252925,-1.321387,1.314193,10.48728365077326,0.9650621232038196,6.761634453920368,16.93907401880519,1.6087622307032263,1.1601831955251425,0.05962803162104213,5.012063239601532
1,walking,12.150477819999999,1.1072475948298048,10.520123,15.160085,5.84314499,0.8263498782047529,4.52983,7.965509,10.851024889999996,0.8228361394961441,9.469068,12.749125,0.7803111900000002,0.11543567645565171,0.499122,1.109987,0.0028521600000000025,0.19250894163080948,-0.407598,0.424094,1.03119696,0.255467546479858,0.491672,1.450539,17.33242822378996,1.3015522766946634,15.706693060554473,20.735011592026154,1.3172103694724933,0.22992706720673,0.8263805344034914,1.8052890800337216
3,cycling,-0.6837840300000001,1.494998996046589,-2.408567,4.314352,6.660286079999999,0.9977182190067964,3.653552,9.548077,7.87438572,0.9221235306976943,6.172252,10.247183,-0.05376016000000001,0.3565740489667951,-1.113147,0.538787,-0.3219493,0.7157630199611391,-3.015689,0.645239,-0.07215139,0.3919295405898845,-1.492057,0.574227,10.508965680793464,0.6894472445043419,9.20301346979287,12.557568316776381,0.6912134764570996,0.6534843361123513,0.11373289046709399,3.49559787154787
1,squatting,8.916437989999999,0.7520171740677801,7.010222,11.166556,3.9890273900000004,0.7854645216850841,2.37026,4.884171,1.1939883700000002,1.306451602656024,-1.278504,3.093309,-0.04634316,0.10675082790186874,-0.266196,0.30843,0.11362366,0.37835766682152006,-0.890784,1.16644,-0.07449755999999999,0.16012487763375932,-0.358126,0.255937,9.946818514384649,0.8893344434333098,7.606380020993758,11.935906070412795,0.3578227014597399,0.2697425904342396,0.04982323956749501,1.1983453554735377
